Цена (₸)                                                                                                                                         , Дата                                                             , Заведение                                                        , Улица                                                            , Номер здания                      , Дополнительно
БилетыСобытия в Almaty Central Stand Up ClubСтендап-шоу «Комики решают проблемы» (15 июня)4000 тенге                                             , 15 июня в 21:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubЖенский микрофон (15 июня)3000 тенге                                                                 , 15 июня в 21:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия от Punch StandUp ClubЮмористический киновечер «Воскресный Гарри Поттер» (15 июня)2000 тенге                                        , 15 июня в 17:00                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Punch StandUp ClubБольшой открытый микрофон (14 июня)2000 тенге                                                                 , 14 июня в 17:00                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Stand Up CampСъемка стендап шоу «Как на личном?» (by Stand Up Camp)2000 тенге                                                   , 15 июня в 19:00                                                  , HM Lounge Bar                                                    , ул. Жамбыла                                                      , 133
БилетыСобытия от Stand Up CampСъемка стендап шоу «Как на личном?» (by Stand Up Camp)2000 тенге                                                   , 15 июня в 21:30                                                  , HM Lounge Bar                                                    , ул. Жамбыла                                                      , 133
БилетыСобытия от Punch StandUp ClubШоу «Биг стендап» (14 июня)5000 тенге                                                                         , 14 июня в 21:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Stand Up CampСтендап-концерт «Ансаган Садирханов и друзья»от 4000 тенге                                                         , 14 июня в 21:30                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия в Almaty Central Stand Up ClubТайный сольный стендап-концерт (14 июня)3000 тенге                                                   , 14 июня в 19:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubСтендап-концерт Weekend show (14 июня)от 4000 тенге                                                  , 14 июня в 21:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыКонцерты в EverJazzHenhouse Prowlers (USA) – Bluegrass Fusion2000 тенге                                                                    , 28 июня в 19:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzArt Collectors trio & Всеволод Цыпин – Hidden Flame4000-6000 тенге                                                      , 26 июня в 20:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzТрио Владимира Демченко и Гульнара Бертисбаева –  Классика джаза4000 тенге                                              , 25 июня в 20:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzДжазовый бранч. Валерия и Александр Соколовы. Romantic Soul3000 тенге                                                   , 22 июня в 14:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzГаухар Саттарова и группа Steps –  Hot Jazz & Funk4000-6000 тенге                                                       , 21 июня в 22:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzКвинтет Валерии Соколовой –  Latin Breeze. Bossa Nova4000-6000 тенге                                                    , 21 июня в 19:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzДжазовый бранч —  Проект Di Harper. Sunday Jazzy3000 тенге                                                              , 15 июня в 14:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzКвинтет Михаила Брусова —  Jazz Legacy4000-6000 тенге                                                                   , 14 июня в 22:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzПосвящение Джону Колтрейну —  Джаз проверенный временем4000-6000 тенге                                                  , 14 июня в 19:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzR.E.D. trio – Modern Jazz4000 тенге                                                                                     , 24 июня в 20:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzТрио Дианы Макиной – Романтический джаз4000 тенге                                                                       , 17 июня в 20:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40б
БилетыСобытия от Stand Up CampСтендап премьера (by Stand Up Camp)Донатное мероприятие (цену билета выбираете вы сами)                            , 14 июня в 20:00                                                  , Coffee House Grain                                               , ул. Курмангазы                                                   , 97
БилетыСобытия от Stand Up CampСольный стендап-концерт Темирлана Жалдыбаева (by Stand Up Camp)от 4000 тенге                                       , 15 июня в 20:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыКонцерты в EverJazzBetter Than Anything –  Квинтет Далена Шинтемирова4000-6000 тенге                                                       , 28 июня в 22:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыСобытия от Stand Up CampНочной сеанс стендапа (by Stand Up Camp)2000 тенге                                                                 , 14 июня в 23:30                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыВечеринкиВечеринка CÓDA: Svetlana Lonchar2000 тенге                                                                                        , 28 июня в 23:00                                                  , Место проведения будет объявлено позже
БилетыКонцертыАкустический квартирникот 3500 тенге                                                                                               , 14 июня в 17:30                                                  , Steppe Coffee                                                    , ул. Курмангазы                                                   , 63
БилетыСобытия в Almaty Central Stand Up ClubРуслан Тай: Қазақша стендап-концерт (15 маусым)6000 теңге                                            , 15 июня в 19:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыФестивалиAlmaty BirdFest  2025от 6 000 тенге                                                                                               , 22 августа и 24 августа                                          , Левый берег                                                      , река Иле
Спектакли в арт-убежище BUNKER Театрализованная читка пьесы «Птица на чердаке»Независимый Экспериментальный Театр «Арт-убежище BUNKER»            , ул. Досмухамедова                                                , 78А
Спектакли в арт-убежище BUNKERЛаборатория театрализованной читки пьесы «Птица на чердаке»Независимый Экспериментальный Театр «Арт-убежище BUNKER», ул. Досмухамедова                                                , 78А
БилетыТеатрСпектакль «Скользящие в миражах»от 500 тенге                                                                                          , 23 июня в 19:30                                                  , Дворец Республики                                                , пр. Достык                                                       , 56
БилетыСпектакли в арт-убежище BUNKERЛекция Константина Козлова «Вожди и Казахстан»5000 тенге                                                     , 28 июня в 19:00                                                  , Независимый Экспериментальный Театр «Арт-убежище BUNKER»         , ул. Досмухамедова                                                , 78А
БилетыСпектакли в арт-убежище BUNKERМонопектакль «Тёмная ночь»от 4000 тенге                                                                      , 14 июня в 20:00                                                  , Независимый Экспериментальный Театр «Арт-убежище BUNKER»         , ул. Досмухамедова                                                , 78А
